trial,pair_ID,condition,set_number,within_trial,pair_similarity
6,23,3,1,6,0.5384615384615384
7,23,3,1,7,0.3846153846153846
8,23,3,1,8,0.46153846153846156
9,23,3,2,1,0.23076923076923073
10,23,3,2,2,0.23076923076923073
11,23,3,2,3,0.3846153846153846
12,23,3,2,4,0.5384615384615384
13,23,3,2,5,0.3076923076923077
14,23,3,2,6,0.3846153846153846
15,23,3,2,7,0.23076923076923073
16,23,3,2,8,0.5384615384615384
1,24,3,1,1,0.3846153846153846
2,24,3,1,2,0.46153846153846156
3,24,3,1,3,0.46153846153846156
4,24,3,1,4,0.46153846153846156
5,24,3,1,5,0.46153846153846156
6,24,3,1,6,0.46153846153846156
7,24,3,1,7,0.3076923076923077
8,24,3,1,8,0.3076923076923077
9,24,3,2,1,0.15384615384615385
10,24,3,2,2,0.23076923076923073
11,24,3,2,3,0.3846153846153846
12,24,3,2,4,0.5384615384615384
13,24,3,2,5,0.3846153846153846
14,24,3,2,6,0.3846153846153846
15,24,3,2,7,0.3076923076923077
16,24,3,2,8,0.46153846153846156
1,25,3,1,1,0.46153846153846156
2,25,3,1,2,0.46153846153846156
3,25,3,1,3,0.23076923076923073
4,25,3,1,4,0.46153846153846156
5,25,3,1,5,0.3846153846153846
6,25,3,1,6,0.3846153846153846
7,25,3,1,7,0.5384615384615384
8,25,3,1,8,0.6153846153846154
9,25,3,2,1,0.23076923076923073
10,25,3,2,2,0.23076923076923073
11,25,3,2,3,0.3846153846153846
12,25,3,2,4,0.3846153846153846
13,25,3,2,5,0.3076923076923077
14,25,3,2,6,0.3076923076923077
15,25,3,2,7,0.23076923076923073
16,25,3,2,8,0.15384615384615385
1,26,3,1,1,0.3076923076923077
2,26,3,1,2,0.3076923076923077
3,26,3,1,3,0.6153846153846154
4,26,3,1,4,0.6153846153846154
5,26,3,1,5,0.3846153846153846
6,26,3,1,6,0.3076923076923077
7,26,3,1,7,0.3076923076923077
8,26,3,1,8,0.3076923076923077
9,26,3,2,1,0.3076923076923077
10,26,3,2,2,0.5384615384615384
11,26,3,2,3,0.23076923076923073
12,26,3,2,4,0.3846153846153846
13,26,3,2,5,0.07692307692307687
14,26,3,2,6,0.5384615384615384
15,26,3,2,7,0.5384615384615384
16,26,3,2,8,0.46153846153846156
1,27,3,1,1,0.3076923076923077
2,27,3,1,2,0.6923076923076923
3,27,3,1,3,0.3846153846153846
4,27,3,1,4,0.3076923076923077
5,27,3,1,5,0.3846153846153846
6,27,3,1,6,0.3846153846153846
7,27,3,1,7,0.3076923076923077
8,27,3,1,8,0.3076923076923077
9,27,3,2,1,0.3076923076923077
10,27,3,2,2,0.3076923076923077
11,27,3,2,3,0.15384615384615385
12,27,3,2,4,0.46153846153846156
13,27,3,2,5,0.3076923076923077
14,27,3,2,6,0.23076923076923073
15,27,3,2,7,0.3846153846153846
16,27,3,2,8,0.5384615384615384
1,28,3,1,1,0.5384615384615384
2,28,3,1,2,0.46153846153846156
3,28,3,1,3,0.6923076923076923
4,28,3,1,4,0.46153846153846156
5,28,3,1,5,0.5384615384615384
6,28,3,1,6,0.5384615384615384
7,28,3,1,7,0.6153846153846154
8,28,3,1,8,0.6153846153846154
9,28,3,2,1,0.46153846153846156
10,28,3,2,2,0.5384615384615384
11,28,3,2,3,0.6153846153846154
12,28,3,2,4,0.3846153846153846
13,28,3,2,5,0.5384615384615384
14,28,3,2,6,0.46153846153846156
15,28,3,2,7,0.5384615384615384
16,28,3,2,8,0.3846153846153846
1,29,3,1,1,0.3076923076923077
2,29,3,1,2,0.46153846153846156
3,29,3,1,3,0.46153846153846156
4,29,3,1,4,0.3076923076923077
5,29,3,1,5,0.46153846153846156
6,29,3,1,6,0.3076923076923077
7,29,3,1,7,0.3846153846153846
8,29,3,1,8,0.46153846153846156
9,29,3,2,1,0.6153846153846154
10,29,3,2,2,0.6153846153846154
11,29,3,2,3,0.46153846153846156
12,29,3,2,4,0.5384615384615384
